Lvl |    Primary  |  Secondary  |       Jedi  
--- |  ---------  |  ---------  |  ---------  
  1 |        500  |       1000  |       1500  
  2 |       1600  |       3200  |       4800  
  3 |       3400  |       6800  |      10200  
  4 |       6000  |      12000  |      18000  
  5 |       9500  |      19000  |      28500  
  6 |      14000  |      28000  |      42000  
  7 |      19600  |      39200  |      58800  
  8 |      26400  |      52800  |      79200  
  9 |      34500  |      69000  |     103500  
 10 |      44000  |      88000  |     132000  
 11 |      55000  |     110000  |     165000  
 12 |      67600  |     135200  |     202800  
 13 |      81900  |     163800  |     245700  
 14 |      98000  |     196000  |     294000  
 15 |     116000  |     232000  |     348000  
 16 |     136000  |     272000  |     408000  
 17 |     158100  |     316200  |     474300  
 18 |     182400  |     364800  |     547200  
 19 |     209000  |     418000  |     627000  
 20 |     238000  |     476000  |     714000
 21 |     269500  |     539000  |     808500  
 22 |     303600  |     607200  |     910800  
 23 |     340400  |     680800  |    1021200  
 24 |     380000  |     760000  |    1140000  
 25 |     422500  |     845000  |    1267500  
 26 |     468000  |     936000  |    1404000  
 27 |     516600  |    1033200  |    1549800  
 28 |     568400  |    1136800  |    1705200  
 29 |     623500  |    1247000  |    1870500  
 30 |     682000  |    1364000  |    2046000  
 31 |     744000  |    1488000  |    2232000  
 32 |     809600  |    1619200  |    2428800  
 33 |     878900  |    1757800  |    2636700  
 34 |     952000  |    1904000  |    2856000  
 35 |    1029000  |    2058000  |    3087000  
 36 |    1110000  |    2220000  |    3330000  
 37 |    1195100  |    2390200  |    3585300  
 38 |    1284400  |    2568800  |    3853200  
 39 |    1378000  |    2756000  |    4134000  
 40 |    1476000  |    2952000  |    4428000  
 41 |    1578500  |    3157000  |    4735500  
 42 |    1685600  |    3371200  |    5056800  
 43 |    1797400  |    3594800  |    5392200  
 44 |    1914000  |    3828000  |    5742000  
 45 |    2035500  |    4071000  |    6106500  
 46 |    2162000  |    4324000  |    6486000  
 47 |    2293600  |    4587200  |    6880800  
 48 |    2430400  |    4860800  |    7291200  
 49 |    2572500  |    5145000  |    7717500  
 50 |    2720000  |    5440000  |    8160000  
--- |  ---------  |  ---------  |  ---------  
Ttl:|   38122500  |   76245000  |  114367500
